1,1,limit_establishment,shewhart:lew-in-control
2,1,control,shewhart:cw-in-control
3,2,limit_establishment,shewhart:lew-in-control
4,2,control,shewhart:cw-out-control
5,3,limit_establishment,lew-out-control
6,3,control,shewhart:cw-in-control
7,4,limit_establishment,lew-out-control
8,4,control,shewhart:cw-out-control
9,5,limit_establishment,shewhart:lew-out-control:with-exclusions
10,5,control,shewhart:cw-in-control:with-exclusions
11,6,control,ewma:in-control
12,7,control,ewma:lew-out-control-upper
13,8,control,ewma:lew-out-control-lower
